video_url,format,duration,playlist_url,video_number,video_no,channel_url,playlist_number,playlist_no,channel_title,playlist_title,video_title
https://youtube.com/watch?v=h2CY6OLRsGk,_UNKNOWN_,184,https://www.youtube.com/playlist?list=PLRXyknBDMNN2n96xBC4Y3f9-lTwAfhyuv,3,2,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,4,USLawEssentials,Intellectual Property,What is fair use?
https://youtube.com/watch?v=pTcXck_4wJM,_UNKNOWN_,164,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,0,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,"Concurring Opinions, Dissenting Opinions, and Case Law"
https://youtube.com/watch?v=AMwC002xIiI,_UNKNOWN_,128,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,1,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,What is a dissenting opinion?
https://youtube.com/watch?v=AgakYUCPDMk,_UNKNOWN_,127,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,2,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,What is a concurring opinion?
https://youtube.com/watch?v=rOJLOYywHK8,_UNKNOWN_,144,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,3,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,What is binding case law?
https://youtube.com/watch?v=1vcRgvJFkd8,_UNKNOWN_,194,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,4,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,What is a Circuit Split
https://youtube.com/watch?v=b2m5ygQ2iMo,_UNKNOWN_,169,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,5,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,What is a circuit split?
https://youtube.com/watch?v=7I56RDjfCuI,_UNKNOWN_,170,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,6,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,Due Process: Bell v Burson
https://youtube.com/watch?v=XMSmpcBZDO8,_UNKNOWN_,162,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,7,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,What is binding case law?
https://youtube.com/watch?v=jV6l3Xmd9h4,_UNKNOWN_,190,https://www.youtube.com/playlist?list=PLRXyknBDMNN19_vSqVs-hPOCnTYxkAyYd,13,8,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,5,USLawEssentials,Case Law,Why did the Supreme Court hold that Uzuegbunam v Preczewski was not moot?
